128;13290
127;12544
126;11840
125;11175
124;10548
123;9956
122;9397
121;8870
120;8372
119;7902
118;7459
117;7040
116;6645
115;6272
114;5920
113;5588
112;5274
111;4978
110;4699
109;4435
108;4186
107;3951
106;3729
105;3520
104;3322
103;3136
102;2960
101;2794
100;2637
99;2489
98;2349
97;2217
96;2093
95;1976
94;1865
93;1760
92;1661
91;1568
90;1480
89;1397
88;1319
87;1245
86;1175
85;1109
84;1047
83;988
82;932
81;880
80;831
79;784
78;740
77;698
76;659
75;622
74;587
73;554
72;523
71;494
70;466
69;440
68;415
67;392
66;370
65;349
64;330
63;311
62;294
61;277
60;262
59;247
58;233
57;220
56;208
55;196
54;185
53;175
52;165
51;156
50;147
49;139
48;131
47;123
46;117
45;110
44;104
43;98
42;93
41;87
40;82
39;78
38;73
37;69
36;65
35;62
34;58
33;55
32;52
31;49
30;46
29;44
28;41
27;39
26;37
25;35
24;33
23;31
22;29
21;28
20;26
19;25
18;23
17;22
16;21
15;19
14;18
13;17
12;16
11;15
10;15
9;14
8;13
7;12
6;12
5;11
4;10
3;10
2;9
1;9
0;8
